location,Basilej
lat,47.54694
lon,7.56892
asl,283.697
variable,Shortwave Radiation
unit,W/m²
level,sfc
resolution,hourly
aggregation,None
timestamp,Basilej Shortwave Radiation
20080101T0000,
20080101T0100,0.0
20080101T0200,0.0
20080101T0300,0.0
20080101T0400,0.0
20080101T0500,0.0
20080101T0600,0.0
20080101T0700,0.0
20080101T0800,0.0
20080101T0900,24.029999
20080101T1000,145.95999
20080101T1100,249.2
20080101T1200,283.91
20080101T1300,267.0
20080101T1400,248.31
20080101T1500,186.01
20080101T1600,129.05
20080101T1700,32.04
20080101T1800,0.0
20080101T1900,0.0
20080101T2000,0.0
20080101T2100,0.0
20080101T2200,0.0
20080101T2300,0.0
20080102T0000,0.0
20080102T0100,0.0
20080102T0200,0.0
20080102T0300,0.0
20080102T0400,0.0
20080102T0500,0.0
20080102T0600,0.0
20080102T0700,0.0
20080102T0800,0.0
20080102T0900,21.36
20080102T1000,137.06
20080102T1100,242.97
20080102T1200,315.06
20080102T1300,261.66
20080102T1400,186.9
20080102T1500,174.44
20080102T1600,97.01
20080102T1700,25.81
20080102T1800,0.0
20080102T1900,0.0
20080102T2000,0.0
20080102T2100,0.0
20080102T2200,0.0
20080102T2300,0.0
20080103T0000,0.0
20080103T0100,0.0
20080103T0200,0.0
20080103T0300,0.0
20080103T0400,0.0
20080103T0500,0.0
20080103T0600,0.0
20080103T0700,0.0
20080103T0800,0.0
20080103T0900,16.91
20080103T1000,108.58
20080103T1100,133.5
20080103T1200,123.71
20080103T1300,135.28
20080103T1400,202.03
20080103T1500,243.86
20080103T1600,161.98
20080103T1700,39.16
20080103T1800,0.0
20080103T1900,0.0
20080103T2000,0.0
20080103T2100,0.0
20080103T2200,0.0
20080103T2300,0.0
20080104T0000,0.0
20080104T0100,0.0
20080104T0200,0.0
20080104T0300,0.0
20080104T0400,0.0
20080104T0500,0.0
20080104T0600,0.0
20080104T0700,0.0
20080104T0800,0.0
20080104T0900,3.56
20080104T1000,19.58
20080104T1100,78.32
20080104T1200,199.36
20080104T1300,328.41
20080104T1400,323.07
20080104T1500,254.54
20080104T1600,149.52
20080104T1700,24.92
20080104T1800,0.0
20080104T1900,0.0
20080104T2000,0.0
20080104T2100,0.0
20080104T2200,0.0
20080104T2300,0.0
20080105T0000,0.0
20080105T0100,0.0
20080105T0200,0.0
20080105T0300,0.0
20080105T0400,0.0
20080105T0500,0.0
20080105T0600,0.0
20080105T0700,0.0
20080105T0800,0.0
20080105T0900,5.34
20080105T1000,24.029999
20080105T1100,42.72
20080105T1200,130.83
20080105T1300,100.57
20080105T1400,112.14
20080105T1500,94.34
20080105T1600,61.41
20080105T1700,18.69
20080105T1800,0.0
20080105T1900,0.0
20080105T2000,0.0
20080105T2100,0.0
20080105T2200,0.0
20080105T2300,0.0
20080106T0000,0.0
20080106T0100,0.0
20080106T0200,0.0
20080106T0300,0.0
20080106T0400,0.0
20080106T0500,0.0
20080106T0600,0.0
20080106T0700,0.0
20080106T0800,0.0
20080106T0900,6.23
20080106T1000,42.72
20080106T1100,73.869995
20080106T1200,104.13
20080106T1300,94.34
20080106T1400,105.909996
20080106T1500,85.44
20080106T1600,56.96
20080106T1700,30.26
20080106T1800,0.0
20080106T1900,0.0
20080106T2000,0.0
20080106T2100,0.0
20080106T2200,0.0
20080106T2300,0.0
20080107T0000,0.0
20080107T0100,0.0
20080107T0200,0.0
20080107T0300,0.0
20080107T0400,0.0
20080107T0500,0.0
20080107T0600,0.0
20080107T0700,0.0
20080107T0800,0.0
20080107T0900,5.34
20080107T1000,28.48
20080107T1100,150.41
20080107T1200,149.52
20080107T1300,111.25
20080107T1400,166.43
20080107T1500,220.72
20080107T1600,152.19
20080107T1700,43.61
20080107T1800,0.0
20080107T1900,0.0
20080107T2000,0.0
20080107T2100,0.0
20080107T2200,0.0
20080107T2300,0.0
20080108T0000,0.0
20080108T0100,0.0
20080108T0200,0.0
20080108T0300,0.0
20080108T0400,0.0
20080108T0500,0.0
20080108T0600,0.0
20080108T0700,0.0
20080108T0800,0.0
20080108T0900,24.92
20080108T1000,150.41
20080108T1100,257.21
20080108T1200,329.3
20080108T1300,357.78
20080108T1400,340.87
20080108T1500,279.46
20080108T1600,178.0
20080108T1700,50.73
20080108T1800,0.0
20080108T1900,0.0
20080108T2000,0.0
20080108T2100,0.0
20080108T2200,0.0
20080108T2300,0.0
20080109T0000,0.0
20080109T0100,0.0
20080109T0200,0.0
20080109T0300,0.0
20080109T0400,0.0
20080109T0500,0.0
20080109T0600,0.0
20080109T0700,0.0
20080109T0800,0.0
20080109T0900,5.34
20080109T1000,33.82
20080109T1100,61.41
20080109T1200,119.259995
20080109T1300,270.56
20080109T1400,200.25
20080109T1500,187.79
20080109T1600,150.41
20080109T1700,37.38
20080109T1800,0.0
20080109T1900,0.0
20080109T2000,0.0
20080109T2100,0.0
20080109T2200,0.0
20080109T2300,0.0
20080110T0000,0.0
20080110T0100,0.0
20080110T0200,0.0
20080110T0300,0.0
20080110T0400,0.0
20080110T0500,0.0
20080110T0600,0.0
20080110T0700,0.0
20080110T0800,0.0
20080110T0900,16.02
20080110T1000,112.14
20080110T1100,230.51
20080110T1200,317.72998
20080110T1300,354.22
20080110T1400,339.09
20080110T1500,280.35
20080110T1600,182.45
20080110T1700,56.96
20080110T1800,0.0
20080110T1900,0.0
20080110T2000,0.0
20080110T2100,0.0
20080110T2200,0.0
20080110T2300,0.0
20080111T0000,0.0
20080111T0100,0.0
20080111T0200,0.0
20080111T0300,0.0
20080111T0400,0.0
20080111T0500,0.0
20080111T0600,0.0
20080111T0700,0.0
20080111T0800,0.0
20080111T0900,24.92
20080111T1000,150.41
20080111T1100,254.54
20080111T1200,278.57
20080111T1300,208.26
20080111T1400,170.88
20080111T1500,209.15
20080111T1600,175.33
20080111T1700,56.96
20080111T1800,0.0
20080111T1900,0.0
20080111T2000,0.0
20080111T2100,0.0
20080111T2200,0.0
20080111T2300,0.0
20080112T0000,0.0
20080112T0100,0.0
20080112T0200,0.0
20080112T0300,0.0
20080112T0400,0.0
20080112T0500,0.0
20080112T0600,0.0
20080112T0700,0.0
20080112T0800,0.0
20080112T0900,4.45
20080112T1000,24.029999
20080112T1100,56.96
20080112T1200,73.869995
20080112T1300,108.58
20080112T1400,127.27
20080112T1500,143.29
20080112T1600,100.57
20080112T1700,32.04
20080112T1800,0.0
20080112T1900,0.0
20080112T2000,0.0
20080112T2100,0.0
20080112T2200,0.0
20080112T2300,0.0
20080113T0000,0.0
20080113T0100,0.0
20080113T0200,0.0
20080113T0300,0.0
20080113T0400,0.0
20080113T0500,0.0
20080113T0600,0.0
20080113T0700,0.0
20080113T0800,0.0
20080113T0900,23.14
20080113T1000,145.95999
20080113T1100,253.65
20080113T1200,324.85
20080113T1300,354.22
20080113T1400,338.19998
20080113T1500,278.57
20080113T1600,178.89
20080113T1700,56.07
20080113T1800,0.0
20080113T1900,0.0
20080113T2000,0.0
20080113T2100,0.0
20080113T2200,0.0
20080113T2300,0.0
20080114T0000,0.0
20080114T0100,0.0
20080114T0200,0.0
20080114T0300,0.0
20080114T0400,0.0
20080114T0500,0.0
20080114T0600,0.0
20080114T0700,0.0
20080114T0800,0.0
20080114T0900,27.59
20080114T1000,144.18
20080114T1100,258.1
20080114T1200,333.75
20080114T1300,336.41998
20080114T1400,295.47998
20080114T1500,228.73
20080114T1600,157.53
20080114T1700,31.15
20080114T1800,0.0
20080114T1900,0.0
20080114T2000,0.0
20080114T2100,0.0
20080114T2200,0.0
20080114T2300,0.0
20080115T0000,0.0
20080115T0100,0.0
20080115T0200,0.0
20080115T0300,0.0
20080115T0400,0.0
20080115T0500,0.0
20080115T0600,0.0
20080115T0700,0.0
20080115T0800,0.0
20080115T0900,31.15
20080115T1000,157.53
20080115T1100,260.77
20080115T1200,339.97998
20080115T1300,351.55
20080115T1400,281.24
20080115T1500,177.11
20080115T1600,134.39
20080115T1700,60.52
20080115T1800,0.0
20080115T1900,0.0
20080115T2000,0.0
20080115T2100,0.0
20080115T2200,0.0
20080115T2300,0.0
20080116T0000,0.0
20080116T0100,0.0
20080116T0200,0.0
20080116T0300,0.0
20080116T0400,0.0
20080116T0500,0.0
20080116T0600,0.0
20080116T0700,0.0
20080116T0800,0.0
20080116T0900,8.9
20080116T1000,74.76
20080116T1100,197.58
20080116T1200,263.44
20080116T1300,197.58
20080116T1400,270.56
20080116T1500,210.93
20080116T1600,128.16
20080116T1700,49.84
20080116T1800,0.0
20080116T1900,0.0
20080116T2000,0.0
20080116T2100,0.0
20080116T2200,0.0
20080116T2300,0.0
20080117T0000,0.0
20080117T0100,0.0
20080117T0200,0.0
20080117T0300,0.0
20080117T0400,0.0
20080117T0500,0.0
20080117T0600,0.0
20080117T0700,0.0
20080117T0800,0.0
20080117T0900,30.26
20080117T1000,158.42
20080117T1100,270.56
20080117T1200,339.97998
20080117T1300,342.65
20080117T1400,354.22
20080117T1500,251.87
20080117T1600,203.81
20080117T1700,79.21
20080117T1800,0.0
20080117T1900,0.0
20080117T2000,0.0
20080117T2100,0.0
20080117T2200,0.0
20080117T2300,0.0
20080118T0000,0.0
20080118T0100,0.0
20080118T0200,0.0
20080118T0300,0.0
20080118T0400,0.0
20080118T0500,0.0
20080118T0600,0.0
20080118T0700,0.0
20080118T0800,0.0
20080118T0900,27.59
20080118T1000,134.39
20080118T1100,245.64
20080118T1200,292.81
20080118T1300,285.69
20080118T1400,164.65
20080118T1500,68.53
20080118T1600,39.16
20080118T1700,16.02
20080118T1800,0.0
20080118T1900,0.0
20080118T2000,0.0
20080118T2100,0.0
20080118T2200,0.0
20080118T2300,0.0
20080119T0000,0.0
20080119T0100,0.0
20080119T0200,0.0
20080119T0300,0.0
20080119T0400,0.0
20080119T0500,0.0
20080119T0600,0.0
20080119T0700,0.0
20080119T0800,0.0
20080119T0900,36.489998
20080119T1000,168.20999
20080119T1100,276.79
20080119T1200,348.88
